Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,Symbiont_d13C,Symbiont_d15N,Symbiont_C_ug,Symbiont_wt-percent_C,Symbiont_wt-percent_C_num,Symbiont_N_ug,Symbiont_wt-percent_N,Symbiont_wt-percent_N_num,Symbiont_dry-weight_mg,Symbiont_dry-weight_ug,Symbiont_CN_molar-ratio
2015,ZM108,Symbiont,Pocillopora,Deep,South Ari,Dhiggaru Falhu,-17.4,5,688.5,0.34,34,129.4,0.064,6.4,2.025,2025,6.2
2015,ZM109,Symbiont,Pocillopora,Deep,South Ari,Dhiggaru Falhu,-17.7,5.4,640.4,0.298,29.8,114.8,0.053,5.3,2.147,2147,6.5
2015,ZM110,Symbiont,Pocillopora,Deep,South Ari,Dhiggaru Falhu,-17.7,4.8,523.4,0.261,26.1,86.1,0.043,4.3,2.008,2008,7.1
2015,ZM111,Symbiont,Galaxea,Deep,South Ari,Dhiggaru Falhu,-16.3,5.7,441.6,0.215,21.5,58.8,0.029,2.9,2.052,2052,8.8
2015,ZM112,Symbiont,Pachyseris,Shallow,South Ari,Dhiggaru Falhu,-14.1,6.1,311.9,0.147,14.7,46.5,0.022,2.2,2.115,2115,7.8
2015,ZM115,Symbiont,Pachyseris,Shallow,South Ari,Dhiggaru Falhu,-13.5,6.1,313.5,0.148,14.8,38.6,0.018,1.8,2.12,2120,9.5
2015,ZM119,Symbiont,Pachyseris,Shallow,South Ari,Dhiggaru Falhu,-15.7,5.1,400.8,0.196,19.6,47.3,0.023,2.3,2.044,2044,9.9
2015,ZM123,Symbiont,Pocillopora,Shallow,South Ari,Dhiggaru Falhu,-16.6,5,551.6,0.269,26.9,89.5,0.044,4.4,2.047,2047,7.2
2015,ZM124,Symbiont,Pocillopora,Shallow,South Ari,Dhiggaru Falhu,-16.5,4.8,598.8,0.294,29.4,101.7,0.05,5,2.038,2038,6.9
2015,ZM125,Symbiont,Pocillopora,Shallow,South Ari,Dhiggaru Falhu,-16.3,5.3,732.5,0.361,36.1,135.7,0.067,6.7,2.028,2028,6.3
2015,ZM129,Symbiont,Galaxea,Shallow,South Ari,Dhiggaru Falhu,-19.2,4,558,0.278,27.8,67.4,0.034,3.4,2.009,2009,9.7
2015,ZM131,Symbiont,Galaxea,Shallow,South Ari,Dhiggaru Falhu,-15.1,4.5,450.1,0.217,21.7,72.8,0.035,3.5,2.077,2077,7.2
2015,ZM132,Symbiont,Galaxea,Shallow,South Ari,Dhiggaru Falhu,-15,5,387.7,0.188,18.8,46.6,0.023,2.3,2.064,2064,9.7
2015,ZM139,Symbiont,Pachyseris,Deep,Dhaalu,Hulhuvehi,-14.8,6,664.1,0.33,33,61.5,0.031,3.1,2.014,2014,12.6
2015,ZM142,Symbiont,Pachyseris,Deep,Dhaalu,Hulhuvehi,-16,5.8,475.6,0.236,23.6,51.5,0.026,2.6,2.019,2019,10.8
2015,ZM143,Symbiont,Pachyseris,Deep,Dhaalu,Hulhuvehi,-13.2,5.6,271.7,0.134,13.4,23.9,0.012,1.2,2.034,2034,13.3
2015,ZM145,Symbiont,Galaxea,Deep,Dhaalu,Hulhuvehi,-15,5.5,358.7,0.169,16.9,31.4,0.015,1.5,2.119,2119,13.3
2015,ZM146,Symbiont,Galaxea,Deep,Dhaalu,Hulhuvehi,-17.7,5.9,466.4,0.227,22.7,73.5,0.036,3.6,2.056,2056,7.4
2015,ZM148,Symbiont,Pocillopora,Deep,Dhaalu,Hulhuvehi,-16.8,5.4,532.2,0.254,25.4,69.7,0.033,3.3,2.097,2097,8.9
2015,ZM152,Symbiont,Pocillopora,Deep,Dhaalu,Hulhuvehi,-15.5,6.3,744.3,0.357,35.7,134.7,0.065,6.5,2.086,2086,6.4
2015,ZM153,Symbiont,Pocillopora,Deep,Dhaalu,Hulhuvehi,-18.3,4.9,543.8,0.26,26,81.9,0.039,3.9,2.093,2093,7.7
2015,ZM155,Symbiont,Pocillopora,Shallow,Dhaalu,Hulhuvehi,-16.6,5.1,531.7,0.258,25.8,64.7,0.031,3.1,2.064,2064,9.6
2015,ZM157,Symbiont,Pocillopora,Shallow,Dhaalu,Hulhuvehi,-15.3,6,585.8,0.286,28.6,104,0.051,5.1,2.045,2045,6.6
2015,ZM158,Symbiont,Pocillopora,Shallow,Dhaalu,Hulhuvehi,-16.6,4.7,368.8,0.181,18.1,51.7,0.025,2.5,2.037,2037,8.3
2015,ZM161,Symbiont,Pachyseris,Shallow,Dhaalu,Hulhuvehi,-13.8,5.1,453.4,0.222,22.2,57.3,0.028,2.8,2.04,2040,9.2
2015,ZM162,Symbiont,Pachyseris,Shallow,Dhaalu,Hulhuvehi,-13.3,5.5,359.3,0.17,17,43.4,0.02,2,2.118,2118,9.7
2015,ZM163,Symbiont,Pachyseris,Shallow,Dhaalu,Hulhuvehi,-14.8,5.6,258.4,0.122,12.2,32.4,0.015,1.5,2.11,2110,9.3
