Sample_ID,Tissue_type,Volume_hexane_mL,Dry_weight_mg,mass-total-FA-per-mg-dry-weight,Coral,Depth,Year,Sample_ID_iso,Fraction,Coral,Depth,Atoll,Site,C_ug,wt-percent_C,N_ug,wt-percent_N,dry-weight_mg,dry-weight_ug,CN_molar-element-ratio,wt-percent_N_num,wt-percent_C_num,d13C,d15N,c14:0,c14:1,c15:0,c16:0,c16:1n-7,c17:0,c18:0,c18:1n-9,c18:1n-7,c18:2n-6,c18:3n-6,c18:3n-3,c18:4n-3,c20:0,c20:1n-11,c20:1n-9,c20:1n-7,c20:2n-6,c20:3n-6,c20:4n-6,c20:4n-3,c20:5n-3,c22:0,c22:1n-11,c22:1n-9,c22:1n-7,c22:4n-6,c22:5n-3,c22:6n-3,c24:0
H738-R,Host,0.5,5.1,0.002,Galaxea,Deep,2017,HM738,Host,Galaxea,Deep,Meemu,Bodu huraa,229.91,0.063,52.89,0.014,3.658,3658,5.1,1.4,6.3,-17.1,5.7,1.215,0,0,34.906,1.626,0,25.658,2.006,0,0,1.114,0,0,2.804,0,0,0,0,1.435,3.055,0,17.723,0,0,0,0,8.458,0,0,0
H747,Host,0.5,5.4,0.0015,Pachyseris,Deep,2017,HM747,Host,Pachyseris,Deep,Meemu,Bodu huraa,249.1,0.068,50.08,0.014,3.646,3646,5.8,1.4,6.8,-15.3,5.7,2.864,0,0,37.73,2.567,0,36.731,2.158,1.697,1.042,1.354,0,0,1.415,0,0,0,0,0,4.752,0,0,1.125,0,0,0,6.564,0,0,0
H761,Host,1.5,5.3,0.0057,Galaxea,Shallow,2017,HM761,Host,Galaxea,Shallow,Meemu,Bodu huraa,356.23,0.098,70.27,0.019,3.62,3620,5.9,1.9,9.8,-15.6,5.7,1.55,0,0,35.611,3.048,4.55,20.907,3.227,0.836,1.859,3.765,0,1.15,1.48,0,0,0,0,2.648,6.111,0,0.907,0,0,0,0,8.419,0,3.933,0
H768,Host,0.5,5.3,0.0025,Pachyseris,Shallow,2017,HM768,Host,Pachyseris,Shallow,Meemu,Bodu huraa,243.88,0.067,49,0.013,3.661,3661,5.8,1.3,6.7,-16.1,5.4,2.254,0,0,44.118,1.922,0.667,37.176,2.408,1.667,0.902,0.569,0,0,1.872,0,0,0,0,0,2.248,0,0,1.351,0,0,0,2.846,0,0,0
H780,Host,1.5,5.2,0.0036,Pocillopora,Shallow,2017,HM780,Host,Pocillopora,Shallow,Meemu,Bodu huraa,279.32,0.077,58.37,0.016,3.626,3626,5.6,1.6,7.7,-17.4,6,4.217,0,0,45.785,2.507,0,26.289,5.615,0,0,1.265,0,0,2.83,0,2.415,0,0,2.378,1.652,0,0,0,0,0,0,2.488,0,2.559,0
H793,Host,1.5,5.1,0.0143,Galaxea,Deep,2017,HM793,Host,Galaxea,Deep,Meemu,Veyvah,363.99,0.099,80.54,0.022,3.691,3691,5.3,2.2,9.9,-17,5.8,0.967,0.338,0,25.822,1.977,2.966,16.883,2.41,0.626,1.037,3.223,0,1.185,2.055,0,0,0,0.524,4.039,12.89,0,5.484,0.403,0,0.726,0,12.168,0.797,3.48,0
H819,Host,1.5,5.2,0.0053,Galaxea,Shallow,2017,HM819,Host,Galaxea,Shallow,Meemu,Veyvah,307.7,0.084,69.73,0.019,3.653,3653,5.1,1.9,8.4,-17.3,5.5,1.251,0,0,28.532,2.226,0,15.937,2.692,0,1.652,3.478,0,1.244,2.097,0,0,0,0,4.919,13.187,0,7.113,0,0,0,0,11.119,0,4.551,0
H829,Host,1.5,5.2,0.0302,Pachyseris,Deep,2017,HM829,Host,Pachyseris,Deep,Vaavu,Kandimma Falhu,351.32,0.096,71,0.019,3.674,3674,5.8,1.9,9.6,-16,4.4,2.161,0.114,0.22,35.334,2.835,0,26.028,3.051,1.625,1.653,3.94,0,1.131,1.142,0.391,0.469,0,1.001,1.608,7.15,0,0.967,0.763,0,0,0,7.484,0,0.932,0
H832,Host,0.5,5.4,0.0127,Galaxea,Deep,2017,HM832,Host,Galaxea,Deep,Vaavu,Kandimma Falhu,289.93,0.079,67.31,0.018,3.678,3678,5,1.8,7.9,-17,5.8,1.794,0,0.349,40.628,3.304,0,19.554,2.942,0.632,1.518,3.547,0,0.654,1.816,0,0.177,0,0.606,2.964,6.318,0,0.73,0.538,0,0.168,0,7.879,0.606,3.047,0.228
H843,Host,0.5,5.4,0.0058,Pocillopora,Deep,2017,HM843,Host,Pocillopora,Deep,Vaavu,Kandimma Falhu,247.76,0.068,55.99,0.015,3.625,3625,5.2,1.5,6.8,-19,5.9,3.083,0,0.797,34.741,2.725,0,23.874,3.833,0.8,0.715,1.517,0,2.288,2.311,0,1.656,0,0.422,2.588,4.593,0.351,1.344,0.701,0,0.395,0,6.134,0.719,4.416,0
H846-R,Host,1.5,5.1,0.0069,Pachyseris,Shallow,2017,HM846,Host,Pachyseris,Shallow,Vaavu,Kandimma Falhu,294.77,0.081,57.9,0.016,3.618,3618,5.9,1.6,8.1,-14.1,6,0.641,0,0,33.164,0.764,0,36.939,1.189,1.076,0.642,1.149,0,0,1.257,0,0,0,0,0.812,4.319,0,10.374,1.028,0,0,0,6.646,0,0,0
H856,Host,0.5,5.1,0.0136,Pocillopora,Shallow,2017,HM856,Host,Pocillopora,Shallow,Vaavu,Kandimma Falhu,473.4,0.129,100.03,0.027,3.682,3682,5.5,2.7,12.9,-17.2,6.4,3.734,0.108,0.585,32.881,2.52,0,21.048,4.092,0.802,0.887,1.915,0,2.425,2.645,0,2.585,0.152,0.587,2.937,4.96,0.408,1.587,0.743,0,0.686,0,6.84,0.834,4.038,0
H865,Host,0.5,5.2,0.005,Galaxea,Shallow,2017,HM865,Host,Galaxea,Shallow,Vaavu,Kandimma Falhu,452,0.124,102.34,0.028,3.657,3657,5.2,2.8,12.4,-15.4,6.4,1.67,0,0.217,42.283,3.332,0,25.783,3.705,0.894,1.725,1.472,0,0.422,3.426,0,0,0,0.988,1.304,2.717,0,0,0.854,0,0,0,7.774,0,1.434,0
H873,Host,1.5,5.3,0.0105,Pocillopora,Deep,2017,HM873,Host,Pocillopora,Deep,Vaavu,Medhu Faru,409.69,0.111,88.1,0.024,3.693,3693,5.4,2.4,11.1,-18.7,5.6,5.031,0,0.782,38.838,2.946,7.959,19.319,5.613,0.848,0.503,1.612,0,0.92,3.042,0,2.807,0,0,2.42,1.726,0,0.712,0,0,0,0,2.171,0,2.751,0
H893,Host,1.5,5.2,0.0079,Pocillopora,Shallow,2017,HM893,Host,Pocillopora,Shallow,Vaavu,Medhu Faru,405.3,0.111,93.6,0.026,3.641,3641,5,2.6,11.1,-19,6.1,2.812,0,0,32.902,2.512,3.26,25.602,3.209,0.772,0,1.609,0,1.905,3.275,0,1.804,0,0,2.074,5.226,0,1.716,0,0,0,0,6.345,0.872,4.108,0
H896,Host,1.5,5.2,0.0101,Pachyseris,Deep,2017,HM986,Host,Pachyseris,Deep,South Male,Fushidiggaru Falhu,632.88,0.171,113.04,0.031,3.692,3692,6.5,3.1,17.1,-14.2,5.7,2.046,0,0,32.814,2.434,0,27.889,2.844,1.809,1.352,2.914,0,1.028,1.556,0,0,0,0.814,1.549,9.868,0,0.881,1.037,0,0,0,8.133,0,1.031,0
H1010,Host,1.5,5.1,0.0073,Pachyseris,Shallow,2017,HM1010,Host,Pachyseris,Shallow,South Male,Fushidiggaru Falhu,415.49,0.113,68.98,0.019,3.682,3682,7,1.9,11.3,-14.5,5.7,1.529,0,0,31.635,2.31,0,25.935,3.594,1.75,1.868,3.535,0,1.001,1.239,0,0,0,1.146,1.794,9.844,0,1.219,1.409,0,0,0,8.575,0,1.616,0
Z423,Symbiont,1.5,5.3,0.1477,Pachyseris,Deep,2017,ZM423,Symbiont,Pachyseris,Deep,North Ari,Dinoluga,328.3,0.157,49.5,0.024,2.09,2090,7.7,2.4,15.7,-16.6,5.1,2.881,0.814,0.386,38.59,3.3,0,10.094,3.438,1.227,1.639,8.205,0,7.592,0.753,1.064,0,0,0.347,0.703,3.286,0,8.132,0.471,0.505,1.192,0,1.085,0,4.299,0
Z432,Symbiont,1.5,5.1,0.0285,Galaxea,Deep,2017,ZM432,Symbiont,Galaxea,Deep,North Ari,Dinoluga,627.5,0.305,99.5,0.048,2.057,2057,7.4,4.8,30.5,-18.3,3.4,8.816,0.507,0,47.418,8.959,0,8.275,4.553,0.371,2.061,4.245,0,2.778,0.624,0,0,0,0,0.444,1.249,0,3.576,0.844,2,0,0,0.72,0,2.561,0
Z452,Symbiont,1.5,5.1,0.012,Galaxea,Shallow,2017,ZM452,Symbiont,Galaxea,Shallow,North Ari,Dinoluga,382.4,0.189,55.8,0.028,2.021,2021,8,2.8,18.9,-18.8,4.6,6.254,7.654,0.191,32.654,5.345,2.434,5.544,2.218,0.585,1.473,6.284,0,7.502,0.489,0,0,0,0,0.626,2.144,0,10.232,0.262,0,1.673,0,1.159,0.193,5.087,0
Z472,Symbiont,1.5,5.3,0.0287,Pachyseris,Deep,2017,ZM472,Symbiont,Pachyseris,Deep,South Ari,Dhiggaru Falhu,311.7,0.144,30.4,0.014,2.171,2171,12,1.4,14.4,-13.3,5.4,3.94,0.179,0.283,49.981,3.145,0,16.83,3.274,1.457,0.997,5.311,0,1.54,1.547,0,0.433,0,0.236,0.646,2,0,2.822,1.004,0.721,0.887,0,0.739,0,1.77,0.257
Z489,Symbiont,1.5,5.2,0.0244,Pachyseris,Shallow,2017,ZM489,Symbiont,Pachyseris,Shallow,South Ari,Dhiggaru Falhu,661.8,0.315,72.8,0.035,2.098,2098,10.6,3.5,31.5,-17.5,6.2,3.247,0.125,0.29,50.295,2.688,0,13.706,2.723,1.305,1.869,5.556,0,3.839,1.191,1.23,0,0,0.528,0.921,2.938,0.207,2.78,0.645,0.477,0.426,0,0.576,0,2.295,0.144
Z601,Symbiont,1.5,5.3,0.0612,Pocillopora,Deep,2017,ZM601,Symbiont,Pocillopora,Deep,Dhaalu,Maafushi,740,0.352,125.4,0.06,2.102,2102,6.9,6,35.2,-17.7,5.1,4.256,0.279,0.259,20.939,2.987,2.538,5.687,1.953,0.428,1.214,6.399,0.174,13.415,0.799,0,0.687,0.107,0.308,2.024,7.751,0.433,7.369,0.349,1.002,0.293,0,4.312,2.431,11.485,0.123
Z611,Symbiont,1.5,5.1,0.0952,Pocillopora,Shallow,2017,ZM611,Symbiont,Pocillopora,Shallow,Dhaalu,Maafushi,700.4,0.341,96,0.047,2.054,2054,8.5,4.7,34.1,-16.8,5.2,4.564,2.094,0.928,35.801,2.836,0,8.545,5.442,0.544,1.034,3.785,0.098,5.367,1.354,0.19,2.168,0.118,0.43,4.29,2.439,0.614,1.991,0.266,0.44,1.591,0,2.615,0.662,9.7,0.094
Z670,Symbiont,1.5,5.2,0.1112,Pocillopora,Deep,2017,ZM670,Symbiont,Pocillopora,Deep,Dhaalu,Hulhuvehi,354.2,0.171,44.3,0.021,2.075,2075,9.3,2.1,17.1,-18.1,3.8,5.637,0.298,1.253,36.516,3.192,0,9.121,5.898,0.631,0.897,3.843,0.111,5.34,1.72,0.191,2.905,0.185,0.432,4.937,2.691,0.655,1.945,0.282,0.477,0.272,0,1.881,0.504,8.104,0.083
Z679,Symbiont,1.5,5.3,0.1351,Galaxea,Deep,2017,ZM679,Symbiont,Galaxea,Deep,Dhaalu,Hulhuvehi,290.4,0.142,35.1,0.017,2.042,2042,9.6,1.7,14.2,-16.9,5.7,3.077,0.246,0.181,39.763,4.918,0,8.848,6.414,0.527,2.759,8.089,0,3.501,1.137,0,0.225,0,0.407,3.282,2.796,0.154,3.899,0.472,0.969,0,0,1.588,0.281,6.465,0
Z700,Symbiont,1.5,5.2,0.0469,Pocillopora,Shallow,2017,ZM700,Symbiont,Pocillopora,Shallow,Dhaalu,Hulhuvehi,498.6,0.238,66.5,0.032,2.098,2098,8.7,3.2,23.8,-17.4,5,4.449,0.18,0.959,33.445,5.292,0,10.679,5.095,0.435,1.77,6.22,0,3.229,2.163,0.381,1.025,0.093,0.477,6.185,3.152,0.274,3.694,0.267,0.218,0.527,0,2.285,0.415,7.02,0.07
Z710,Symbiont,1.5,5.2,0.0982,Galaxea,Shallow,2017,ZM710,Symbiont,Galaxea,Shallow,Dhaalu,Hulhuvehi,395.4,0.194,39.3,0.019,2.033,2033,11.7,1.9,19.4,-11.4,5,3.078,0.23,0.325,32.722,3.939,0,6.164,3.329,0.576,3.025,9.333,0.153,8.641,0.765,0,0.25,0,0.538,3.003,5.229,0.236,4.981,0.236,0.697,0.357,0,3.205,0.501,8.487,0
Z725,Symbiont,1.5,5.2,0.0494,Pachyseris,Shallow,2017,ZM725,Symbiont,Pachyseris,Shallow,Meemu,Kurali,302.3,0.15,38.4,0.019,2.009,2009,9.2,1.9,15,-16.1,4.4,1.97,0.282,0,22.489,1.876,0,9.983,1.413,0.9,2.269,9.141,0.113,13.696,0.689,0,0.442,0,0.575,0.79,11.31,0.155,8.187,0.525,1.033,1.504,0,4.217,0.196,6.245,0
Z733,Symbiont,1.5,5.2,0.0394,Pocillopora,Deep,2017,ZM733,Symbiont,Pocillopora,Deep,Meemu,Bodu huraa,726.7,0.35,103.8,0.05,2.077,2077,8.2,5,35,-17.5,5.6,5.155,0.232,1.35,36.152,2.613,0,9.142,4.79,0.47,0.866,4.99,0.123,5.99,1.641,0.323,1.911,0.123,0.28,4.352,2.617,0.66,2.26,0.214,0.361,0.503,0,2.52,0.745,9.525,0.089
Z738,Symbiont,1.5,5.1,0.1568,Galaxea,Deep,2017,ZM738,Symbiont,Galaxea,Deep,Meemu,Bodu huraa,576.9,0.284,68.6,0.034,2.03,2030,9.8,3.4,28.4,-15.8,4.7,3.182,0.242,0.279,36.592,4.217,0,6.959,2.754,0.388,1.363,10.317,0,6.219,0.739,0,0.203,0,0.324,3.468,4.55,0.164,5.681,0.201,0.399,0.671,0,3.902,0.436,6.75,0
Z747,Symbiont,1.5,5.1,0.04,Pachyseris,Deep,2017,ZM747,Symbiont,Pachyseris,Deep,Meemu,Bodu huraa,599.9,0.296,67.8,0.033,2.027,2027,10.3,3.3,29.6,-14.9,6.2,3.565,0.155,0.279,43.144,2.543,0,12.454,2.279,1.195,1.527,8.793,0,4.424,0.916,1.25,0,0,0.384,1.461,3.341,0.165,5.136,0.458,0.529,1.156,0,1.36,0,3.386,0.103
Z761,Symbiont,1.5,5.1,0.0804,Galaxea,Shallow,2017,ZM761,Symbiont,Galaxea,Shallow,Meemu,Bodu huraa,634.5,0.306,89.1,0.043,2.073,2073,8.3,4.3,30.6,-14.4,4,2.841,0.333,0.168,23.042,3.699,0,4.754,2.713,0.431,2.736,11.852,0.136,12.435,0.322,0,0,0,0.338,2.204,6.536,0.212,9.007,0.166,0.921,0.533,0,4.19,0.471,9.959,0
Z768,Symbiont,1.5,5.2,0.0626,Pachyseris,Shallow,2017,ZM768,Symbiont,Pachyseris,Shallow,Meemu,Bodu huraa,543.5,0.266,54.6,0.027,2.042,2042,11.6,2.7,26.6,-15.2,4.9,3.075,0.186,0.301,43.342,2.154,0,13.031,1.809,1.338,2.039,5.792,0.096,7.047,1.016,1.935,0,0.103,0.564,1.148,3.998,0.278,4.67,0.473,0.343,0.35,0,1.461,0.099,3.236,0.117
Z780,Symbiont,1.5,5.1,0.0945,Pocillopora,Shallow,2017,ZM780,Symbiont,Pocillopora,Shallow,Meemu,Bodu huraa,646.4,0.308,78,0.037,2.099,2099,9.7,3.7,30.8,-16,5.1,5.927,0.164,1.217,46,2.994,0,9.439,6.705,0.506,0.816,3.203,0,3.182,1.466,0,2.287,0.115,0.366,4.261,1.124,0.528,1.045,0.226,0.248,0.877,0,1.159,0.319,5.826,0
Z793,Symbiont,1.5,5.2,0.0559,Galaxea,Deep,2017,ZM793,Symbiont,Galaxea,Deep,Meemu,Veyvah,428.8,0.211,60.8,0.03,2.035,2035,8.2,3,21.1,-16.8,4.4,2.778,0.182,0.181,26.958,3.504,0,6.211,2.568,0.317,1.86,11.318,0,7.657,0.761,0,0.206,0,0.28,3.216,6.65,0.212,8.226,0.253,0.905,0.968,0,4.461,0.531,9.797,0
Z819,Symbiont,1.5,5.1,0.0697,Galaxea,Shallow,2017,ZM819,Symbiont,Galaxea,Shallow,Meemu,Veyvah,577.1,0.281,78.1,0.038,2.056,2056,8.6,3.8,28.1,-17.3,4.6,3.328,0.223,0,25.742,3.718,2.173,6.389,3.043,0.338,2.53,9.071,0.093,7.333,0.959,0,0,0,0.472,3.326,7.005,0.231,7.919,0.233,1.049,0,0,4.529,0.492,9.805,0
Z829,Symbiont,1.5,5.3,0.0477,Pachyseris,Deep,2017,ZM829,Symbiont,Pachyseris,Deep,Vaavu,Kandimma Falhu,720.3,0.352,89.6,0.044,2.049,2049,9.4,4.4,35.2,-15.9,6.1,3.192,0.222,0.221,37.718,2.698,0,9.687,3.187,0.947,2.165,11.2,0,5.282,0.623,1.453,0,0,0.465,1.527,3.553,0.137,6.6,0.465,0.988,0.774,0,1.625,0.108,5.075,0.087
Z832,Symbiont,1.5,5.2,0.0837,Galaxea,Deep,2017,ZM832,Symbiont,Galaxea,Deep,Vaavu,Kandimma Falhu,671.9,0.327,88.9,0.043,2.056,2056,8.8,4.3,32.7,-16.4,4.9,2.756,0.311,0.422,40.438,4.201,0,6.097,2.562,0.418,2.412,10.955,0.077,5.352,0.532,0,0.201,0,0.412,3.726,3.337,0.209,4.038,0.162,0.354,0.248,0,2.481,0.577,7.722,0
Z843,Symbiont,1.5,5.3,0.066,Pocillopora,Deep,2017,ZM843,Symbiont,Pocillopora,Deep,Vaavu,Kandimma Falhu,597.1,0.28,77.2,0.036,2.135,2135,9,3.6,28,-18.1,5.1,4.76,0.286,1.302,34.128,2.954,0,7.715,4.391,0.5,0.815,3.968,0.07,7.283,1.314,0.16,1.57,0.133,0.301,4.622,3.753,0.677,2.718,0.298,0.397,0.436,0,2.598,0.728,12.033,0.09
Z846,Symbiont,1.5,5.1,0.1348,Pachyseris,Shallow,2017,ZM846,Symbiont,Pachyseris,Shallow,Vaavu,Kandimma Falhu,333.4,0.162,37.8,0.018,2.059,2059,10.3,1.8,16.2,-14.1,5.5,2.557,0.079,0.395,49.65,2.369,0,12.888,1.955,1.258,1.688,6.934,0,3.106,0.894,1.648,0,0,0.491,2.45,4.344,0.209,2.644,0.417,0.281,0.363,0,1.031,0,2.238,0.11
Z856,Symbiont,1.5,5.1,0.0733,Pocillopora,Shallow,2017,ZM856,Symbiont,Pocillopora,Shallow,Vaavu,Kandimma Falhu,910.3,0.447,114.8,0.056,2.035,2035,9.2,5.6,44.7,-16.2,4.9,5.523,0.196,0.845,31.301,2.578,0,7.29,4.3,0.429,1.089,5.24,0.246,10.139,1.548,0,2.073,0.132,0.338,4.278,3.698,0.688,3.002,0.306,0.716,0.724,0,2.239,0.678,10.405,0
Z865,Symbiont,1.5,5.1,0.0821,Galaxea,Shallow,2017,ZM865,Symbiont,Galaxea,Shallow,Vaavu,Kandimma Falhu,402.5,0.196,44.2,0.022,2.053,2053,10.6,2.2,19.6,-14.2,5.8,3.095,0.153,0.411,46.85,5.916,0,11.013,4.757,0.762,2.971,5.046,0.094,2.732,1.464,0,0.269,0,0.672,2.386,2.706,0.196,1.312,0.419,0.535,0,0,2,0.268,3.87,0.103
Z873,Symbiont,1.5,5.1,0.0618,Pocillopora,Deep,2017,ZM873,Symbiont,Pocillopora,Deep,Vaavu,Medhu Faru,853.3,0.405,123.2,0.059,2.105,2105,8.1,5.9,40.5,-18.1,4.8,5.27,0.274,0.504,27.651,3.032,0,7.203,3.515,0.532,0.763,5.322,0.075,11.416,1.602,0,1.735,0.183,0.208,3.028,5.182,0.574,4.514,0.317,1.127,0.743,0,3.268,0.937,10.893,0.133
Z893,Symbiont,1.5,5.2,0.0975,Pocillopora,Shallow,2017,ZM893,Symbiont,Pocillopora,Shallow,Vaavu,Medhu Faru,569,0.284,62,0.031,2.006,2006,10.7,3.1,28.4,-17.6,5.2,4.929,0.155,1.267,39.583,2.424,0,9.835,5.463,0.569,0.559,3.964,0.049,3.842,1.908,0,2.666,0.193,0.221,5.056,1.911,0.88,1.601,0.168,0.251,0.842,0,1.425,0.513,9.658,0.065
Z986,Symbiont,1.5,5.2,0.1132,Pachyseris,Deep,2017,ZM986,Symbiont,Pachyseris,Deep,South Male,Fushidiggaru Falhu,334,0.163,36,0.018,2.049,2049,10.8,1.8,16.3,-13.7,5.8,4.862,0.108,0.352,62.082,2.148,0,19.303,2.934,1.161,0.374,0.789,0,0.435,1.424,0,0.178,0,0.171,0,0.403,0,0.478,0.735,0.703,0.767,0,0,0,0.319,0.275
Z1010,Symbiont,1.5,5.3,0.0291,Pachyseris,Shallow,2017,ZM1010,Symbiont,Pachyseris,Shallow,South Male,Fushidiggaru Falhu,770.9,0.378,75.3,0.037,2.042,2042,11.9,3.7,37.8,-14.1,5.3,3.162,0.253,0.291,38.274,2.668,0,10.707,4.477,1.251,2.539,9.963,0.049,4.75,0.853,0.942,0.325,0.042,0.555,1.743,3.875,0.212,5.423,0.417,0.691,0.547,0,1.087,0.075,4.742,0.084
