Year,Sample_ID_Host,Coral,Depth,Atoll,Site,d13C_Host,d15N_Host,C_ug_Host,C_wt-percent_Host,C_wt-percent-num_Host,N_ug_Host,N_wt-percent_Host,N_wt-percent-num_Host,dry-weight_mg_Host,dry-weight_ug_Host,CN_molar-ratio_Host,Sample_ID_Sym,d13C_Sym,d15N_Sym,C_ug_Sym,C_wt-percent_Sym,C_wt-percent-num_Sym,N_ug_Sym,N_wt-percent_Sym,N_wt-percent-num_Sym,dry-weight_mg_Sym,dry-weight_ug_Sym,CN_molar-ratio_Sym,d13C_host-sym,d15N_host-sym
2015,HM061,Galaxea,Deep,North Ari,Dinoluga,-17.2,5.9,323.8,0.089,8.9,63.9,0.018,1.8,3.65,3650,5.9,ZM061,-17.4,4.3,231.9,0.113,11.3,32.1,0.016,1.6,2.059,2059,8.4,0.2,1.6
2015,HM063,Pocillopora,Deep,North Ari,Dinoluga,-17.0,5.4,226.5,0.062,6.2,41.8,0.011,1.1,3.665,3665,6.3,ZM063,-15.9,6.3,515.9,0.251,25.1,114.5,0.056,5.6,2.052,2052,5.3,-1.1,-0.9
2015,HM068,Pocillopora,Deep,North Ari,Dinoluga,-18.3,5.2,190.9,0.053,5.3,34.4,0.01,1,3.616,3616,6.5,ZM068,-15.7,6.4,695,0.337,33.7,185.3,0.09,9,2.06,2060,4.4,-2.6,-1.2
2015,HM069,Pocillopora,Deep,North Ari,Dinoluga,-19.2,5.2,202.9,0.056,5.6,41.4,0.011,1.1,3.617,3617,5.7,ZM069,-18.6,4.9,692.3,0.333,33.3,111.4,0.054,5.4,2.08,2080,7.3,-0.6,0.3
2015,HM071,Pachyseris,Deep,North Ari,Dinoluga,-13.8,5.5,274.2,0.075,7.5,50.4,0.014,1.4,3.68,3680,6.3,ZM071,-13.9,5.0,278.5,0.137,13.7,36.9,0.018,1.8,2.039,2039,8.8,0.1,0.5
2015,HM074,Pachyseris,Deep,North Ari,Dinoluga,-13.9,5.7,321.5,0.088,8.8,56.1,0.015,1.5,3.664,3664,6.7,ZM074,-9.6,5.2,226.3,0.109,10.9,21,0.01,1,2.075,2075,12.6,-4.3,0.5
2015,HM076,Pachyseris,Deep,North Ari,Dinoluga,-18.5,4.0,159.6,0.044,4.4,26.3,0.007,0.7,3.633,3633,7.1,ZM076,-18.4,4.5,372.8,0.182,18.2,57.1,0.028,2.8,2.048,2048,7.6,-0.1,-0.5
2015,HM079,Galaxea,Shallow,North Ari,Dinoluga,-15.5,5.3,492.7,0.137,13.7,86.8,0.024,2.4,3.604,3604,6.6,ZM079,-14.0,4.1,273.9,0.126,12.6,37.8,0.017,1.7,2.17,2170,8.5,-1.5,1.2
2015,HM082,Galaxea,Shallow,North Ari,Dinoluga,-15.5,5.0,339.5,0.094,9.4,73.4,0.02,2,3.596,3596,5.4,ZM082,-15.1,5.1,379.4,0.184,18.4,50.5,0.025,2.5,2.06,2060,8.8,-0.4,-0.1
2015,HM090,Pocillopora,Shallow,North Ari,Dinoluga,-16.9,5.4,381.4,0.102,10.2,74.5,0.02,2,3.746,3746,6,ZM090,-16.1,5.5,810.2,0.375,37.5,148.7,0.069,6.9,2.158,2158,6.4,-0.8,-0.1
2015,HM094,Pocillopora,Shallow,North Ari,Dinoluga,-17.7,6.2,392.2,0.107,10.7,78.2,0.021,2.1,3.665,3665,5.9,ZM094,-16.9,5.5,678.6,0.335,33.5,105.1,0.052,5.2,2.024,2024,7.5,-0.8,0.7
2015,HM096,Pocillopora,Shallow,North Ari,Dinoluga,-16.5,5.7,387.4,0.106,10.6,80.9,0.022,2.2,3.659,3659,5.6,ZM096,-14.5,5.1,672.4,0.331,33.1,77.1,0.038,3.8,2.03,2030,10.2,-2.0,0.6
2015,HM101,Pachyseris,Deep,South Ari,Dhiggaru Falhu,-15.4,5.9,281.4,0.078,7.8,50,0.014,1.4,3.617,3617,6.6,ZM101,-14.8,6.5,285.5,0.14,14,38.4,0.019,1.9,2.036,2036,8.7,-0.6,-0.6
2015,HM105,Pachyseris,Deep,South Ari,Dhiggaru Falhu,-14.2,5.6,384.8,0.106,10.6,66.4,0.018,1.8,3.616,3616,6.8,ZM105,-13.9,6.6,738.6,0.341,34.1,70.3,0.033,3.3,2.163,2163,12.3,-0.3,-1.0
2015,HM106,Pachyseris,Deep,South Ari,Dhiggaru Falhu,-15.4,5.6,241.5,0.067,6.7,41.8,0.012,1.2,3.616,3616,6.7,ZM106,-14.8,6.5,224.1,0.111,11.1,21.9,0.011,1.1,2.019,2019,11.9,-0.6,-0.9
2015,HM108,Pocillopora,Deep,South Ari,Dhiggaru Falhu,-18.4,5.2,292,0.079,7.9,58.1,0.016,1.6,3.684,3684,5.9,ZM108,-17.4,5.0,688.5,0.34,34,129.4,0.064,6.4,2.025,2025,6.2,-1.0,0.2
2015,HM109,Pocillopora,Deep,South Ari,Dhiggaru Falhu,-19.1,4.9,166.2,0.045,4.5,35.4,0.01,1,3.697,3697,5.5,ZM109,-17.7,5.4,640.4,0.298,29.8,114.8,0.053,5.3,2.147,2147,6.5,-1.4,-0.5
2015,HM110,Pocillopora,Deep,South Ari,Dhiggaru Falhu,-18.2,5.3,192,0.052,5.2,34.5,0.009,0.9,3.697,3697,6.5,ZM110,-17.7,4.8,523.4,0.261,26.1,86.1,0.043,4.3,2.008,2008,7.1,-0.5,0.5
2015,HM111,Galaxea,Deep,South Ari,Dhiggaru Falhu,-16.7,5.7,402.8,0.111,11.1,77.6,0.021,2.1,3.622,3622,6.1,ZM111,-16.3,5.7,441.6,0.215,21.5,58.8,0.029,2.9,2.052,2052,8.8,-0.4,0.0
2015,HM112,Pachyseris,Shallow,South Ari,Dhiggaru Falhu,-13.7,5.8,442.2,0.122,12.2,80.7,0.022,2.2,3.625,3625,6.4,ZM112,-14.1,6.1,311.9,0.147,14.7,46.5,0.022,2.2,2.115,2115,7.8,0.4,-0.3
2015,HM115,Pachyseris,Shallow,South Ari,Dhiggaru Falhu,-14.5,6.0,405.2,0.111,11.1,69.2,0.019,1.9,3.655,3655,6.8,ZM115,-13.5,6.1,313.5,0.148,14.8,38.6,0.018,1.8,2.12,2120,9.5,-1.0,-0.1
2015,HM119,Pachyseris,Shallow,South Ari,Dhiggaru Falhu,-16.0,5.3,465.9,0.129,12.9,81.6,0.023,2.3,3.617,3617,6.7,ZM119,-15.7,5.1,400.8,0.196,19.6,47.3,0.023,2.3,2.044,2044,9.9,-0.3,0.2
2015,HM123,Pocillopora,Shallow,South Ari,Dhiggaru Falhu,-17.3,5.8,406.5,0.111,11.1,81.5,0.022,2.2,3.669,3669,5.8,ZM123,-16.6,5.0,551.6,0.269,26.9,89.5,0.044,4.4,2.047,2047,7.2,-0.7,0.8
2015,HM124,Pocillopora,Shallow,South Ari,Dhiggaru Falhu,-17.4,5.5,420.8,0.114,11.4,80.6,0.022,2.2,3.702,3702,6.1,ZM124,-16.5,4.8,598.8,0.294,29.4,101.7,0.05,5,2.038,2038,6.9,-0.9,0.7
