Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,d13C,d15N,C_ug,wt-percent_C,wt-percent_C_num,N_ug,wt-percent_N,wt-percent_N_num,dry-weight_mg,dry-weight_ug,CN_molar-ratio
2015,HM096,Host,Pocillopora,Shallow,North Ari,Dinoluga,-16.5,5.7,387.4,0.106,10.6,80.9,0.022,2.2,3.659,3659,5.6
2015,HM101,Host,Pachyseris,Deep,South Ari,Dhiggaru Falhu,-15.4,5.9,281.4,0.078,7.8,50.0,0.014,1.4,3.617,3617,6.6
2015,HM105,Host,Pachyseris,Deep,South Ari,Dhiggaru Falhu,-14.2,5.6,384.8,0.106,10.6,66.4,0.018,1.8,3.616,3616,6.8
2015,HM106,Host,Pachyseris,Deep,South Ari,Dhiggaru Falhu,-15.4,5.6,241.5,0.067,6.7,41.8,0.012,1.2,3.616,3616,6.7
2015,HM108,Host,Pocillopora,Deep,South Ari,Dhiggaru Falhu,-18.4,5.2,292.0,0.079,7.9,58.1,0.016,1.6,3.684,3684,5.9
2015,HM109,Host,Pocillopora,Deep,South Ari,Dhiggaru Falhu,-19.1,4.9,166.2,0.045,4.5,35.4,0.010,1.0,3.697,3697,5.5
2015,HM110,Host,Pocillopora,Deep,South Ari,Dhiggaru Falhu,-18.2,5.3,192.0,0.052,5.2,34.5,0.009,0.9,3.697,3697,6.5
2015,HM111,Host,Galaxea,Deep,South Ari,Dhiggaru Falhu,-16.7,5.7,402.8,0.111,11.1,77.6,0.021,2.1,3.622,3622,6.1
2015,HM112,Host,Pachyseris,Shallow,South Ari,Dhiggaru Falhu,-13.7,5.8,442.2,0.122,12.2,80.7,0.022,2.2,3.625,3625,6.4
2015,HM115,Host,Pachyseris,Shallow,South Ari,Dhiggaru Falhu,-14.5,6.0,405.2,0.111,11.1,69.2,0.019,1.9,3.655,3655,6.8
2015,HM119,Host,Pachyseris,Shallow,South Ari,Dhiggaru Falhu,-16.0,5.3,465.9,0.129,12.9,81.6,0.023,2.3,3.617,3617,6.7
2015,HM123,Host,Pocillopora,Shallow,South Ari,Dhiggaru Falhu,-17.3,5.8,406.5,0.111,11.1,81.5,0.022,2.2,3.669,3669,5.8
2015,HM124,Host,Pocillopora,Shallow,South Ari,Dhiggaru Falhu,-17.4,5.5,420.8,0.114,11.4,80.6,0.022,2.2,3.702,3702,6.1
2015,HM125,Host,Pocillopora,Shallow,South Ari,Dhiggaru Falhu,-17.7,5.5,213.2,0.059,5.9,42.2,0.012,1.2,3.611,3611,5.9
